Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","17/06/2024 03:07"
"Last updated:","17/06/2024 03:07"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:",Solutions
"Data table contains the following:",Solutions
"Content type","Total flow figures"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=SHg9Wc
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Solution types included","RET,RDP,RST,NAT"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Returned refugees"
2023,Afghanistan,AFG,-,-,57530
2023,Burundi,BDI,-,-,26663
2023,"Central African Rep.",CAF,-,-,14449
2023,Cameroon,CMR,-,-,2058
2023,"Dem. Rep. of the Congo",COD,-,-,1808
2023,Colombia,COL,-,-,5
2023,Ethiopia,ETH,-,-,6187
2023,"Cote d'Ivoire",CIV,-,-,27
2023,Indonesia,IDN,-,-,5
2023,"Iran (Islamic Rep. of)",IRN,-,-,24
2023,Iraq,IRQ,-,-,154
2023,Libya,LBY,-,-,5
2023,"Sri Lanka",LKA,-,-,346
2023,Mali,MLI,-,-,574
2023,Myanmar,MMR,-,-,10
2023,Nigeria,NGA,-,-,31747
2023,Pakistan,PAK,-,-,36
2023,"Russian Federation",RUS,-,-,5
2023,Rwanda,RWA,-,-,1961
2023,Somalia,SOM,-,-,1876
2023,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,12
2023,"South Sudan",SSD,-,-,527206
2023,Stateless,XXA,-,-,6
2023,Sudan,SDN,-,-,17238
2023,"Syrian Arab Rep.",SYR,-,-,37552
2023,Ukraine,UKR,-,-,324573
2023,"Western Sahara",ESH,-,-,6
2023,Yemen,YEM,-,-,11
